Youtuber,subscribers,video views,category,uploads,lowest_monthly_earnings,highest_monthly_earnings,created_year
Davie504,13000000,2683297849,Entertainment,838,7500,119500,2011
Everson Zoio,13000000,1024467771,Comedy,625,763,12200,2009
Calon Sarjana,13000000,10664585,Entertainment,29,0,0,2016
Lofi Girl,13000000,1698279553,Music,409,7600,121900,2015
Jomy Production,13000000,5057163256,Entertainment,8,0,0.01,2021
GH'S,13000000,8739174649,Gaming,510,270300,4300000,2020
JesseAndMike,13000000,9999238237,Entertainment,716,10300,164400,2007
Wolfoo Channel,13000000,301547793,nan,22,0.15,2,2021
Susy Mouriz,13000000,6270909026,Entertainment,1299,92100,1500000,2017
7 Minutoz,13000000,4349562794,Music,521,7400,118100,2012
The LaBrant Fam,13000000,4637474071,Comedy,612,0,0,2012
Pastor Antï¿½ï¿½ï¿½ï¿½ï,12900000,2112274210,People & Blogs,4712,7900,127200,2013
Matheus Yurley,12900000,140022442,Entertainment,69,37,591,2015
gymvirtual,12900000,2509752944,Sports,1572,3000,48000,2010
BIBOï¿½ï¿½ï¿½ï¿½ï,12900000,3178222797,Entertainment,193,1000,16000,2016
Top Viral Talent,12900000,3643698504,Entertainment,1598,7300,117500,2014
Akon,12900000,6300933122,Music,39,22800,365000,2005
AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,12900000,7520379951,People & Blogs,169304,20100,320900,2006
Rauw Alejandro,12900000,11504090820,Music,168,51400,822200,2014
EnriqueIglesiasVEVO,12900000,15446707595,Music,137,18900,303100,2009
ıııııııı ıııı ıııııııııııııı,12900000,5585085130,Shows,1255,17800,284500,2014
The Shiny Peanut,12900000,2848466522,Education,2337,209,3400,2016
Talking Angela,12800000,3632438963,Entertainment,233,7000,111800,2014
Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,12800000,5863456698,Comedy,1727,8800,141300,2016
Duo Tiempo De Sol,12800000,6662288136,Music,323,13500,216000,2013
Troom Troom India,12800000,6804072897,Howto & Style,2385,4300,69100,2015
MrSuicideSheep,12800000,6970899521,Entertainment,3483,4500,72500,2010
Adam W,12800000,9502983550,Comedy,681,57200,915800,2015
Right to Shiksha,12800000,7876740921,Education,2044,53400,855000,2020
Beyoncï¿½ï¿½,12800000,14185611472,Music,168,22400,358300,2009
FACT FIRE KING,12700000,1159290255,nan,782,12800,205200,2020
Ian Lucas,12700000,1450874545,Entertainment,50,0,0,2016
Franco Escamilla,12700000,4266957149,Comedy,2483,19400,309900,2007
Adexe & Nau,12700000,4579773883,Music,594,2500,40300,2013
Diana and Roma IND,12700000,5567832210,nan,534,11700,186400,2019
Jass Records,12700000,5958994201,Music,1,0,0,2012
Future,12700000,9927699419,Music,119,118,1900,2020
YoungBoy Never Broke Again,12700000,13174393401,Entertainment,142,42500,679900,2015
Blossom,12700000,4733873025,Howto & Style,812,11000,175500,2017
#Refï¿½ï¿½ï¿½ï¿½,12700000,2709954270,Entertainment,846,1700,27800,2013
Piuzinho,12700000,1081285962,Gaming,504,905,14500,2015
Heidi y Zidane,12700000,6001189018,nan,600,4000,64500,2019
Go Ami Go!,12700000,1714955279,People & Blogs,252,81900,1300000,2015
Morgz,12600000,3303595310,Gaming,825,14700,235400,2014
CaseyNeistat,12600000,3152402405,People & Blogs,1101,1500,23800,2010
ıııııııııSULGI,12600000,3485373675,People & Blogs,683,28300,452500,2012
NickiMinajAtVEVO,12600000,8831179714,Music,99,8800,140100,2010
Ellie Goulding,12600000,6969178081,Music,218,9200,146700,2007
colinfurze,12500000,1612094871,Entertainment,385,2100,33900,2006
People Vs Food,12500000,1136534702,Entertainment,601,3800,61400,2013
Wolfoo Family,12500000,161254021,nan,61,0,0,2019
Ja Mill,12500000,1302818088,People & Blogs,0,0,0,2006
Health Time,12500000,1002219689,Howto & Style,1810,349,5600,2016
Yair17,12500000,1402042328,Gaming,1109,2200,35500,2014
Little Baby Bum en Espaï¿½ï,12500000,6956320454,Education,1459,4100,65300,2014
First We Feast,12500000,2983799729,Howto & Style,1076,27800,445000,2014
Mï¿½ï¿½ï¿½ï¿½,12500000,3140883140,Travel & Events,766,7800,124000,2015
Bebefinn - Nursery Rhymes & Kids Songs,12500000,4163639093,nan,322,0,0,2022
Troom Troom PT,12500000,4384177908,Howto & Style,2738,3400,54000,2015
Parafernalha,12500000,4625777945,Entertainment,1888,1800,28600,2011
NDTV,12500000,4935793409,Entertainment,151136,14600,234100,2006
elcarteldesantatv,12500000,7489455451,Music,377,29000,463500,2008
Family Fitness,12500000,10384848759,Entertainment,1699,58900,942900,2017
Zee Tamil,12500000,11552190002,Entertainment,102699,87500,1400000,2008
Flowers Comedy,12500000,11691081301,Entertainment,11907,45000,720100,2015
Mundo Bita,12500000,16690788752,Music,253,53400,854800,2011
Wave Music Bhakti,12500000,5146004207,Music,19899,2800,44300,2011
Troom Troom Indonesia,12500000,5379684248,People & Blogs,8,0,0,2020
CKM,12500000,4465772496,Comedy,117,3300,52600,2018
Quantum Tech HD,12500000,4340213066,Science & Technology,223,2,35,2022
_vector_,12400000,7597013023,Comedy,398,225900,3600000,2019
DEV Ke Facts,12400000,1971226335,nan,218,68400,1100000,2012
Hero Movies 2023,12400000,1689090619,People & Blogs,689,5500,87300,2017
LOUD,12400000,2394143260,Gaming,690,7,110,2006
Gibby :),12400000,2862685032,People & Blogs,226,2600,41100,2014
Gustavo Parï¿½ï¿½,12400000,2602614088,Comedy,9,0,0,2010
SAAIHALILINTAR,12400000,1113066203,Entertainment,409,202,3200,2012
Timba Vk,12400000,2840137980,Gaming,1024,6000,96100,2012
Heidi and Zidane HZHtube,12400000,4021409291,Entertainment,813,2400,38400,2015
DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12400000,6933660906,Gaming,12419,20700,330600,2012
Zee Kids,12400000,7683670251,Film & Animation,1212,23800,380700,2012
Pari's Lifestyle,12400000,7741764747,People & Blogs,459,9500,152700,2018
DisneyChannelUK,12400000,12607488647,Music,4422,8700,139000,2007
MoniLina,12400000,16086808918,Comedy,0,0,0,2016
bharatzkitchen HINDI,12400000,2315226648,Howto & Style,729,7700,123900,2016
TKOR,12400000,3392022527,Education,0,0,0,2006
ANNA KOVA,12400000,13959586308,People & Blogs,1,0,0.01,2006
Avril Lavigne,12400000,6202090191,Music,205,12500,200800,2005
Caylus,12400000,4779139505,Education,1340,44400,710400,2016
Migos ATL,12400000,6993406259,Music,99,12400,197600,2012
Natan por Aï¿,12300000,9029609749,Sports,1200,138100,2200000,2017
Free Fire India Official,12300000,1674409945,People & Blogs,1500,16200,258900,2018
Panda,12300000,2214684303,nan,2452,17,268,2006
RobTopGames,12300000,374123483,Gaming,39,968,15500,2012
Make Joke Of,12300000,2129773714,Comedy,62,6000,96000,2017
